"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAGGETT.C,20180511,2359,0.00,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20180512,2359,0.01,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20180513,2359,0.00,,89,59,,,,,,,,,,,,,,
DAGGETT.C,20180514,2359,0.00,,91,60,,,,,,,,,,,,,,
DAGGETT.C,20180515,2359,0.01,,89,61,,,,,,,,,,,,,,
DAGGETT.C,20180516,2359,0.00,,89,60,,,,,,,,,,,,,,
DAGGETT.C,20180517,2359,0.00,,90,60,,,,,,,,,,,,,,
DAGGETT.C,20180518,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180519,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180520,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180521,2359,0.00,,90,62,,,,,,,,,,,,,,
DAGGETT.C,20180522,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180523,2359,0.01,,91,62,,,,,,,,,,,,,,
DAGGETT.C,20180524,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180525,2359,0.00,,92,62,,,,,,,,,,,,,,
DAGGETT.C,20180526,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180527,2359,0.00,,92,63,,,,,,,,,,,,,,
DAGGETT.C,20180528,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180529,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180530,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180531,2359,0.00,,95,64,,,,,,,,,,,,,,
DAGGETT.C,20180601,2359,0.00,,95,66,,,,,,,,,,,,,,
DAGGETT.C,20180602,2359,0.00,,96,66,,,,,,,,,,,,,,
DAGGETT.C,20180603,2359,0.00,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180604,2359,0.00,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180605,2359,0.00,,94,65,,,,,,,,,,,,,,
DAGGETT.C,20180606,2359,0.03,,94,65,,,,,,,,,,,,,,
DAGGETT.C,20180607,2359,0.00,,94,65,,,,,,,,,,,,,,
DAGGETT.C,20180608,2359,0.00,,95,64,,,,,,,,,,,,,,
DAGGETT.C,20180609,2359,0.00,,96,65,,,,,,,,,,,,,,
DAGGETT.C,20180610,2359,0.00,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180611,2359,0.00,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180612,2359,0.00,,96,67,,,,,,,,,,,,,,
DAGGETT.C,20180613,2359,0.00,,98,65,,,,,,,,,,,,,,
DAGGETT.C,20180614,2359,0.01,,98,67,,,,,,,,,,,,,,
